"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Centric Lat (deg)","Centric Lon (deg)","x (km)","y (km)","z (km)","Magnitude (km)","x/Magnitude","y/Magnitude","z/Magnitude","Bx (nT)","By (nT)","Bz (nT)","BMagnitude (nT)","Bx/BMagnitude","By/BMagnitude","Bz/BMagnitude","Vx (km/sec)","Vy (km/sec)","Vz (km/sec)","VMagnitude (km/sec)"
1 Jan 2015 00:00:00.000,-64.233,78.220,3002.323067,-64.082,78.220,834.009745,3999.292598,-8424.869194,9363.137000,0.089074,0.427132,-0.899791,4751.41,8141.86,-14547.83,17335.08,0.274092,0.469675,-0.839213,-2.214968,-4.858615,-2.525657,5.906875
1 Jan 2015 00:00:01.000,-64.269,78.233,3002.333014,-64.118,78.233,832.085850,3994.372346,-8427.392806,9363.136590,0.088868,0.426606,-0.900061,4747.27,8130.28,-14557.79,17336.88,0.273825,0.468959,-0.839701,-2.215727,-4.860395,-2.521565,5.906875
1 Jan 2015 00:00:02.000,-64.304,78.245,3002.342130,-64.153,78.245,830.160838,3989.450456,-8429.912325,9363.135360,0.088663,0.426081,-0.900330,4743.12,8118.69,-14567.75,17338.67,0.273557,0.468242,-0.840188,-2.216485,-4.862171,-2.517472,5.906876
1 Jan 2015 00:00:03.000,-64.339,78.258,3002.350414,-64.189,78.258,828.234709,3984.526931,-8432.427750,9363.133309,0.088457,0.425555,-0.900599,4738.96,8107.09,-14577.69,17340.47,0.273289,0.467524,-0.840675,-2.217242,-4.863946,-2.513378,5.906877
1 Jan 2015 00:00:04.000,-64.374,78.270,3002.357868,-64.224,78.270,826.307465,3979.601773,-8434.939081,9363.130438,0.088251,0.425029,-0.900867,4734.81,8095.49,-14587.63,17342.27,0.273021,0.466807,-0.841160,-2.217999,-4.865718,-2.509283,5.906880
1 Jan 2015 00:00:05.000,-64.410,78.283,3002.364491,-64.260,78.283,824.379105,3974.674986,-8437.446316,9363.126747,0.088045,0.424503,-0.901136,4730.64,8083.88,-14597.56,17344.07,0.272753,0.466089,-0.841645,-2.218754,-4.867487,-2.505186,5.906883
1 Jan 2015 00:00:06.000,-64.445,78.295,3002.370283,-64.295,78.295,822.449631,3969.746570,-8439.949453,9363.122236,0.087839,0.423977,-0.901403,4726.48,8072.26,-14607.47,17345.87,0.272484,0.465371,-0.842130,-2.219509,-4.869254,-2.501088,5.906886
1 Jan 2015 00:00:07.000,-64.480,78.308,3002.375244,-64.330,78.308,820.519042,3964.816529,-8442.448492,9363.116904,0.087633,0.423450,-0.901671,4722.30,8060.64,-14617.38,17347.68,0.272215,0.464652,-0.842613,-2.220263,-4.871019,-2.496989,5.906890
1 Jan 2015 00:00:08.000,-64.516,78.320,3002.379374,-64.366,78.320,818.587341,3959.884866,-8444.943432,9363.110752,0.087427,0.422924,-0.901938,4718.13,8049.01,-14627.28,17349.48,0.271946,0.463934,-0.843096,-2.221016,-4.872781,-2.492889,5.906895
1 Jan 2015 00:00:09.000,-64.551,78.333,3002.382672,-64.401,78.333,816.654527,3954.951583,-8447.434271,9363.103780,0.087220,0.422397,-0.902204,4713.94,8037.37,-14637.17,17351.29,0.271677,0.463215,-0.843578,-2.221769,-4.874541,-2.488788,5.906900
1 Jan 2015 00:00:10.000,-64.586,78.346,3002.385140,-64.437,78.346,814.720601,3950.016682,-8449.921007,9363.095988,0.087014,0.421871,-0.902471,4709.76,8025.73,-14647.05,17353.10,0.271407,0.462495,-0.844059,-2.222520,-4.876298,-2.484685,5.906906
1 Jan 2015 00:00:11.000,-64.622,78.359,3002.386777,-64.472,78.359,812.785564,3945.080166,-8452.403641,9363.087375,0.086807,0.421344,-0.902737,4705.57,8014.08,-14656.92,17354.91,0.271137,0.461776,-0.844540,-2.223271,-4.878053,-2.480581,5.906913
1 Jan 2015 00:00:12.000,-64.657,78.371,3002.387582,-64.508,78.371,810.849417,3940.142038,-8454.882169,9363.077942,0.086601,0.420817,-0.903002,4701.37,8002.42,-14666.78,17356.73,0.270867,0.461056,-0.845020,-2.224021,-4.879805,-2.476476,5.906920
1 Jan 2015 00:00:13.000,-64.692,78.384,3002.387557,-64.543,78.384,808.912160,3935.202300,-8457.356593,9363.067689,0.086394,0.420290,-0.903268,4697.17,7990.75,-14676.63,17358.54,0.270597,0.460335,-0.845499,-2.224770,-4.881555,-2.472370,5.906928
1 Jan 2015 00:00:14.000,-64.728,78.397,3002.386700,-64.579,78.397,806.973793,3930.260954,-8459.826909,9363.056616,0.086187,0.419763,-0.903533,4692.97,7979.08,-14686.47,17360.36,0.270327,0.459615,-0.845977,-2.225519,-4.883303,-2.468262,5.906937
1 Jan 2015 00:00:15.000,-64.763,78.410,3002.385013,-64.614,78.410,805.034319,3925.318004,-8462.293117,9363.044723,0.085980,0.419235,-0.903797,4688.76,7967.40,-14696.31,17362.18,0.270056,0.458894,-0.846455,-2.226266,-4.885048,-2.464153,5.906946
1 Jan 2015 00:00:16.000,-64.798,78.423,3002.382494,-64.650,78.423,803.093737,3920.373451,-8464.755215,9363.032009,0.085773,0.418708,-0.904061,4684.54,7955.71,-14706.13,17364.00,0.269785,0.458173,-0.846932,-2.227013,-4.886791,-2.460043,5.906955
1 Jan 2015 00:00:17.000,-64.833,78.436,3002.379144,-64.685,78.436,801.152047,3915.427298,-8467.213203,9363.018475,0.085566,0.418180,-0.904325,4680.32,7944.01,-14715.95,17365.83,0.269513,0.457451,-0.847408,-2.227759,-4.888531,-2.455932,5.906966
1 Jan 2015 00:00:18.000,-64.869,78.449,3002.374963,-64.720,78.449,799.209252,3910.479548,-8469.667080,9363.004121,0.085358,0.417652,-0.904589,4676.10,7932.31,-14725.75,17367.65,0.269242,0.456729,-0.847884,-2.228504,-4.890268,-2.451820,5.906977
1 Jan 2015 00:00:19.000,-64.904,78.462,3002.369951,-64.756,78.462,797.265351,3905.530204,-8472.116843,9362.988946,0.085151,0.417124,-0.904852,4671.87,7920.61,-14735.55,17369.48,0.268970,0.456007,-0.848359,-2.229248,-4.892004,-2.447706,5.906989
1 Jan 2015 00:00:20.000,-64.939,78.475,3002.364107,-64.791,78.475,795.320345,3900.579267,-8474.562492,9362.972952,0.084943,0.416596,-0.905114,4667.64,7908.89,-14745.34,17371.31,0.268698,0.455285,-0.848833,-2.229992,-4.893736,-2.443591,5.907001
1 Jan 2015 00:00:21.000,-64.975,78.489,3002.357433,-64.827,78.489,793.374235,3895.626740,-8477.004026,9362.956137,0.084735,0.416068,-0.905377,4663.40,7897.17,-14755.11,17373.14,0.268426,0.454562,-0.849306,-2.230735,-4.895467,-2.439475,5.907014
1 Jan 2015 00:00:22.000,-65.010,78.502,3002.349927,-64.862,78.502,791.427021,3890.672626,-8479.441443,9362.938502,0.084528,0.415540,-0.905639,4659.16,7885.44,-14764.88,17374.97,0.268154,0.453839,-0.849779,-2.231476,-4.897195,-2.435358,5.907027
1 Jan 2015 00:00:23.000,-65.045,78.515,3002.341590,-64.898,78.515,789.478705,3885.716927,-8481.874742,9362.920047,0.084320,0.415011,-0.905901,4654.91,7873.70,-14774.64,17376.81,0.267881,0.453115,-0.850251,-2.232218,-4.898920,-2.431240,5.907042
