Epoch(UTCG),X_GSE(km),Y_GSE(km),Z_GSE(km),VMag(km/s),RamX_GSE,RamY_GSE,RamZ_GSE
Jan 01 2028 00:00:01.000000000,3770.615849,-2292.309227,-8251.590527,5.9033735,0.241924009,0.957751198,-0.155516613
Jan 01 2028 00:00:02.000000000,3772.04263,-2286.655484,-8252.506596,5.903373301,0.241613903,0.957939489,-0.154837516
Jan 01 2028 00:00:03.000000000,3773.467581,-2281.000632,-8253.418655,5.903373739,0.241303654,0.958127213,-0.154158329
Jan 01 2028 00:00:04.000000000,3774.890702,-2275.344673,-8254.326704,5.903374813,0.240993263,0.958314368,-0.153479049
Jan 01 2028 00:00:05.000000000,3776.311991,-2269.687611,-8255.230743,5.903376524,0.240682728,0.958500956,-0.152799679
Jan 01 2028 00:00:06.000000000,3777.731447,-2264.029448,-8256.130772,5.903378871,0.240372051,0.958686975,-0.152120219
Jan 01 2028 00:00:07.000000000,3779.149071,-2258.370187,-8257.026789,5.903381855,0.240061232,0.958872426,-0.151440668
Jan 01 2028 00:00:08.000000000,3780.564862,-2252.70983,-8257.918795,5.903385476,0.23975027,0.959057308,-0.150761027
Jan 01 2028 00:00:09.000000000,3781.978818,-2247.048381,-8258.806789,5.903389733,0.239439166,0.959241622,-0.150081297
Jan 01 2028 00:00:10.000000000,3783.390939,-2241.385842,-8259.690771,5.903394627,0.239127921,0.959425368,-0.149401478
Jan 01 2028 00:00:11.000000000,3784.801225,-2235.722216,-8260.570739,5.903400157,0.238816533,0.959608544,-0.14872157
Jan 01 2028 00:00:12.000000000,3786.209675,-2230.057505,-8261.446695,5.903406324,0.238505004,0.959791152,-0.148041573
Jan 01 2028 00:00:13.000000000,3787.616288,-2224.391713,-8262.318637,5.903413127,0.238193334,0.959973191,-0.147361489
Jan 01 2028 00:00:14.000000000,3789.021063,-2218.724842,-8263.186564,5.903420568,0.237881522,0.960154661,-0.146681317
Jan 01 2028 00:00:15.000000000,3790.423999,-2213.056895,-8264.050477,5.903428644,0.237569569,0.960335562,-0.146001058
Jan 01 2028 00:00:16.000000000,3791.825097,-2207.387874,-8264.910376,5.903437357,0.237257475,0.960515893,-0.145320712
Jan 01 2028 00:00:17.000000000,3793.224355,-2201.717783,-8265.766258,5.903446707,0.23694524,0.960695656,-0.14464028
Jan 01 2028 00:00:18.000000000,3794.621773,-2196.046623,-8266.618125,5.903456694,0.236632865,0.960874848,-0.143959761
Jan 01 2028 00:00:19.000000000,3796.01735,-2190.374399,-8267.465976,5.903467317,0.23632035,0.961053472,-0.143279156
Jan 01 2028 00:00:20.000000000,3797.411084,-2184.701112,-8268.30981,5.903478576,0.236007694,0.961231526,-0.142598467
Jan 01 2028 00:00:21.000000000,3798.802977,-2179.026765,-8269.149627,5.903490472,0.235694898,0.96140901,-0.141917692
Jan 01 2028 00:00:22.000000000,3800.193026,-2173.351362,-8269.985426,5.903503005,0.235381962,0.961585924,-0.141236832
Jan 01 2028 00:00:23.000000000,3801.581232,-2167.674904,-8270.817207,5.903516174,0.235068887,0.961762268,-0.140555888
Jan 01 2028 00:00:24.000000000,3802.967593,-2161.997395,-8271.64497,5.90352998,0.234755672,0.961938043,-0.139874861
Jan 01 2028 00:00:25.000000000,3804.352109,-2156.318837,-8272.468714,5.903544423,0.234442317,0.962113247,-0.139193749
Jan 01 2028 00:00:26.000000000,3805.734779,-2150.639233,-8273.288439,5.903559502,0.234128823,0.962287881,-0.138512555
Jan 01 2028 00:00:27.000000000,3807.115603,-2144.958586,-8274.104144,5.903575217,0.233815191,0.962461945,-0.137831278
Jan 01 2028 00:00:28.000000000,3808.494579,-2139.276899,-8274.91583,5.90359157,0.233501419,0.962635438,-0.137149918
Jan 01 2028 00:00:29.000000000,3809.871708,-2133.594174,-8275.723494,5.903608558,0.233187509,0.962808361,-0.136468476
Jan 01 2028 00:00:30.000000000,3811.246988,-2127.910414,-8276.527138,5.903626184,0.23287346,0.962980714,-0.135786953
Jan 01 2028 00:00:31.000000000,3812.620419,-2122.225621,-8277.32676,5.903644446,0.232559272,0.963152496,-0.135105348
Jan 01 2028 00:00:32.000000000,3813.992,-2116.5398,-8278.122361,5.903663344,0.232244947,0.963323707,-0.134423662
Jan 01 2028 00:00:33.000000000,3815.36173,-2110.852951,-8278.913939,5.90368288,0.231930483,0.963494347,-0.133741896
Jan 01 2028 00:00:34.000000000,3816.729609,-2105.165079,-8279.701495,5.903703051,0.231615882,0.963664416,-0.13306005
Jan 01 2028 00:00:35.000000000,3818.095636,-2099.476185,-8280.485028,5.90372386,0.231301143,0.963833914,-0.132378123
Jan 01 2028 00:00:36.000000000,3819.459811,-2093.786273,-8281.264537,5.903745305,0.230986266,0.964002841,-0.131696117
Jan 01 2028 00:00:37.000000000,3820.822132,-2088.095345,-8282.040023,5.903767386,0.230671252,0.964171197,-0.131014032
Jan 01 2028 00:00:38.000000000,3822.182599,-2082.403405,-8282.811484,5.903790104,0.230356101,0.964338981,-0.130331869
Jan 01 2028 00:00:39.000000000,3823.541212,-2076.710454,-8283.578921,5.903813459,0.230040812,0.964506194,-0.129649627
Jan 01 2028 00:00:40.000000000,3824.897969,-2071.016496,-8284.342333,5.90383745,0.229725387,0.964672836,-0.128967307
Jan 01 2028 00:00:41.000000000,3826.25287,-2065.321533,-8285.101719,5.903862078,0.229409826,0.964838906,-0.128284909
Jan 01 2028 00:00:42.000000000,3827.605915,-2059.625568,-8285.857079,5.903887343,0.229094127,0.965004404,-0.127602434
Jan 01 2028 00:00:43.000000000,3828.957102,-2053.928604,-8286.608413,5.903913244,0.228778293,0.96516933,-0.126919882
Jan 01 2028 00:00:44.000000000,3830.306431,-2048.230643,-8287.355721,5.903939781,0.228462322,0.965333685,-0.126237254
Jan 01 2028 00:00:45.000000000,3831.653902,-2042.531689,-8288.099001,5.903966956,0.228146215,0.965497467,-0.125554549
Jan 01 2028 00:00:46.000000000,3832.999513,-2036.831744,-8288.838254,5.903994766,0.227829973,0.965660678,-0.124871769
Jan 01 2028 00:00:47.000000000,3834.343264,-2031.13081,-8289.573478,5.904023214,0.227513594,0.965823316,-0.124188913
Jan 01 2028 00:00:48.000000000,3835.685154,-2025.428891,-8290.304675,5.904052298,0.227197081,0.965985382,-0.123505983
Jan 01 2028 00:00:49.000000000,3837.025183,-2019.72599,-8291.031843,5.904082018,0.226880432,0.966146876,-0.122822977
Jan 01 2028 00:00:50.000000000,3838.36335,-2014.022109,-8291.754982,5.904112376,0.226563648,0.966307797,-0.122139898
Jan 01 2028 00:00:51.000000000,3839.699654,-2008.31725,-8292.474091,5.904143369,0.226246728,0.966468146,-0.121456744
Jan 01 2028 00:00:52.000000000,3841.034095,-2002.611417,-8293.18917,5.904175,0.225929674,0.966627922,-0.120773517
Jan 01 2028 00:00:53.000000000,3842.366672,-1996.904613,-8293.900219,5.904207267,0.225612486,0.966787125,-0.120090217
