Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
Jan 01 2015 00:00:01.000000000,-79.79550173,97.00497235,2999.9739870000003,1.7938163827795063e-05,-2.3563471699935765e-06,-1.3321459069251033e-06,1.7732758860649438e-05
Jan 01 2015 00:00:02.000000000,-79.82989748,97.0607208,2999.9772510000003,1.79372775227923e-05,-2.353602632399174e-06,-1.33939784112918e-06,1.7731680490061063e-05
Jan 01 2015 00:00:03.000000000,-79.8642822,97.11687153,2999.979677,1.7936392135837195e-05,-2.350835783110252e-06,-1.346661891165947e-06,1.7730601674005653e-05
Jan 01 2015 00:00:04.000000000,-79.8986558,97.17342852,2999.9812660000002,1.7935507658127822e-05,-2.348046380040225e-06,-1.35393814936317e-06,1.7729522403032768e-05
Jan 01 2015 00:00:05.000000000,-79.93301816,97.2303958,2999.9820170000003,1.7934624093977792e-05,-2.3452341799407855e-06,-1.3612267055760823e-06,1.7728442680888606e-05
Jan 01 2015 00:00:06.000000000,-79.96736917,97.28777748,2999.981932,1.7933741430442075e-05,-2.3423989313939955e-06,-1.3685276512723746e-06,1.7727362494400055e-05
Jan 01 2015 00:00:07.000000000,-80.00170873,97.34557768,2999.9810079999997,1.79328596815762e-05,-2.339540387155672e-06,-1.375841081382048e-06,1.772628185646246e-05
Jan 01 2015 00:00:08.000000000,-80.03603672,97.40380061,2999.979248,1.793197882899437e-05,-2.3366582879228996e-06,-1.383167086642265e-06,1.7725200748635065e-05
Jan 01 2015 00:00:09.000000000,-80.07035303,97.46245053,2999.97665,1.793109888210099e-05,-2.3337523765165106e-06,-1.3905057628070987e-06,1.7724119179479333e-05
Jan 01 2015 00:00:10.000000000,-80.10465755,97.52153173,2999.973214,1.7930219838242248e-05,-2.3308223911208655e-06,-1.3978572042372365e-06,1.7723037145627933e-05
Jan 01 2015 00:00:11.000000000,-80.13895015,97.58104858,2999.968941,1.792934169066142e-05,-2.3278680638399997e-06,-1.4052215035294448e-06,1.7721954640046394e-05
Jan 01 2015 00:00:12.000000000,-80.17323072,97.6410055,2999.963831,1.7928464436844237e-05,-2.324889124435004e-06,-1.4125987572986343e-06,1.7720871659519198e-05
Jan 01 2015 00:00:13.000000000,-80.20749915,97.70140696,2999.957883,1.79275880797174e-05,-2.3218853002761855e-06,-1.4199890632462558e-06,1.7719788206088916e-05
Jan 01 2015 00:00:14.000000000,-80.24175529,97.76225749999999,2999.951098,1.7926712613376956e-05,-2.318856311977693e-06,-1.4273925132904547e-06,1.7718704273733223e-05
Jan 01 2015 00:00:15.000000000,-80.27599905,97.82356172,2999.943475,1.792583803951175e-05,-2.3158018783779475e-06,-1.4348092100933657e-06,1.7717619862993416e-05
Jan 01 2015 00:00:16.000000000,-80.31023028,97.88532428,2999.935016,1.792496434627415e-05,-2.3127217109110573e-06,-1.442239246528422e-06,1.7716534961974175e-05
Jan 01 2015 00:00:17.000000000,-80.34444886,97.94754988,2999.925718,1.7924091547979385e-05,-2.3096155234533976e-06,-1.4496827228330775e-06,1.771544958383186e-05
Jan 01 2015 00:00:18.000000000,-80.37865466,98.01024331,2999.915583,1.792321963141681e-05,-2.3064830187824965e-06,-1.4571397366054997e-06,1.771436371502172e-05
Jan 01 2015 00:00:19.000000000,-80.41284756,98.0734094,2999.904611,1.792234859358516e-05,-2.30332389876862e-06,-1.4646103879795002e-06,1.7713277351714665e-05
Jan 01 2015 00:00:20.000000000,-80.44702741,98.13705308,2999.892801,1.792147843967205e-05,-2.3001378601743184e-06,-1.4720947755454137e-06,1.7712190498626496e-05
Jan 01 2015 00:00:21.000000000,-80.48119408,98.20117931,2999.880154,1.79206091613457e-05,-2.296924594953442e-06,-1.4795929989370757e-06,1.7711103146791896e-05
Jan 01 2015 00:00:22.000000000,-80.51534744,98.26579313,2999.86667,1.791974075611656e-05,-2.2936837909477308e-06,-1.487105159721618e-06,1.771001529297753e-05
Jan 01 2015 00:00:23.000000000,-80.54948735,98.33089964,2999.852348,1.7918873227567505e-05,-2.29041513286316e-06,-1.494631359127145e-06,1.7708926939967332e-05
Jan 01 2015 00:00:24.000000000,-80.58361367,98.39650403,2999.837188,1.791800657384051e-05,-2.287118298552089e-06,-1.5021716993712583e-06,1.7707838085272522e-05
Jan 01 2015 00:00:25.000000000,-80.61772625,98.46261153,2999.821191,1.791714078730316e-05,-2.283792961530582e-06,-1.509726280183811e-06,1.770674872075131e-05
Jan 01 2015 00:00:26.000000000,-80.65182494,98.52922747,2999.804357,1.7916275866457193e-05,-2.2804387900769374e-06,-1.5172952038363664e-06,1.7705658844339116e-05
Jan 01 2015 00:00:27.000000000,-80.68590961,98.59635723,2999.786685,1.7915411813642998e-05,-2.277055449759197e-06,-1.5248785760451913e-06,1.77045684573067e-05
Jan 01 2015 00:00:28.000000000,-80.7199801,98.66400626,2999.768176,1.7914548621528196e-05,-2.2736425991102093e-06,-1.5324764975261541e-06,1.7703477551857972e-05
Jan 01 2015 00:00:29.000000000,-80.75403625,98.73218012,2999.748829,1.791368629473278e-05,-2.270199891903305e-06,-1.540089072428404e-06,1.7702386131984745e-05
Jan 01 2015 00:00:30.000000000,-80.78807793,98.8008844,2999.728645,1.7912824823457887e-05,-2.2667269769096506e-06,-1.5477164069242254e-06,1.770129418691686e-05
Jan 01 2015 00:00:31.000000000,-80.82210496,98.8701248,2999.7076239999997,1.7911964207387898e-05,-2.2632234969693414e-06,-1.5553586026142947e-06,1.7700201715991394e-05
Jan 01 2015 00:00:32.000000000,-80.85611719,98.93990708,2999.6857649999997,1.7911104449436905e-05,-2.259689091563731e-06,-1.5630157661358164e-06,1.769910872114518e-05
Jan 01 2015 00:00:33.000000000,-80.89011447,99.01023708,2999.663068,1.7910245546647258e-05,-2.256123393590506e-06,-1.5706880042273605e-06,1.7698015198531946e-05
Jan 01 2015 00:00:34.000000000,-80.92409661,99.08112073,2999.6395350000003,1.7909387487328916e-05,-2.252526027733422e-06,-1.5783754175846188e-06,1.769692113636837e-05
Jan 01 2015 00:00:35.000000000,-80.95806347,99.15256404,2999.615163,1.79085302847812e-05,-2.2488966184975205e-06,-1.5860781180870546e-06,1.7695826546492852e-05
Jan 01 2015 00:00:36.000000000,-80.99201487,99.22457309999999,2999.589955,1.7907673920492843e-05,-2.2452347783383425e-06,-1.5937962084077332e-06,1.7694731410193957e-05
Jan 01 2015 00:00:37.000000000,-81.02595064,99.29715408,2999.5639079999996,1.790681840928361e-05,-2.2415401205073654e-06,-1.6015297971714367e-06,1.7693635741135467e-05
Jan 01 2015 00:00:38.000000000,-81.05987059999998,99.37031325,2999.537025,1.790596373246209e-05,-2.237812245145357e-06,-1.6092789887549107e-06,1.76925395203763e-05
Jan 01 2015 00:00:39.000000000,-81.09377458,99.44405695,2999.5093039999997,1.7905109898706694e-05,-2.23405075255524e-06,-1.6170438923237838e-06,1.769144275546995e-05
Jan 01 2015 00:00:40.000000000,-81.12766241,99.51839161,2999.480745,1.790425690509926e-05,-2.2302552346562016e-06,-1.6248246163978817e-06,1.7690345442586206e-05
Jan 01 2015 00:00:41.000000000,-81.16153389,99.59332378,2999.451349,1.790340474540994e-05,-2.226425274461441e-06,-1.6326212662443426e-06,1.7689247575185697e-05
Jan 01 2015 00:00:42.000000000,-81.19538885,99.66886006,2999.421116,1.7902553416110883e-05,-2.2225604518105054e-06,-1.6404339511579107e-06,1.768814914869953e-05
Jan 01 2015 00:00:43.000000000,-81.22922709,99.74500716,2999.390045,1.7901702921554283e-05,-2.2186603402036544e-06,-1.6482627780239414e-06,1.768705016674554e-05
Jan 01 2015 00:00:44.000000000,-81.26304843,99.82177191,2999.358137,1.79008532535129e-05,-2.21472450308086e-06,-1.6561078567929023e-06,1.76859506203632e-05
Jan 01 2015 00:00:45.000000000,-81.29685266,99.89916119,2999.325392,1.7900004410545196e-05,-2.2107525005776766e-06,-1.6639692925498958e-06,1.768485050748742e-05
Jan 01 2015 00:00:46.000000000,-81.33063961,99.97718201,2999.291809,1.789915639444827e-05,-2.206743885353842e-06,-1.6718471986285903e-06,1.768374982863673e-05
Jan 01 2015 00:00:47.000000000,-81.36440906,100.0558415,2999.257388,1.789830920494727e-05,-2.2026982009269746e-06,-1.6797416817398639e-06,1.7682648583121225e-05
Jan 01 2015 00:00:48.000000000,-81.39816081,100.1351468,2999.22213,1.7897462832868553e-05,-2.1986149873834644e-06,-1.6876528478177084e-06,1.768154676085825e-05
Jan 01 2015 00:00:49.000000000,-81.43189466,100.21510529999999,2999.186035,1.789661727701532e-05,-2.1944937709500347e-06,-1.6955808095491718e-06,1.7680444360012938e-05
Jan 01 2015 00:00:50.000000000,-81.4656104,100.2957243,2999.149102,1.7895772539067234e-05,-2.1903340816458506e-06,-1.7035256719625106e-06,1.767934138099545e-05
Jan 01 2015 00:00:51.000000000,-81.49930781,100.3770114,2999.111332,1.789492861303953e-05,-2.1861354297725413e-06,-1.7114875449871351e-06,1.767823781749267e-05
Jan 01 2015 00:00:52.000000000,-81.53298669,100.45897420000001,2999.072725,1.789408549513799e-05,-2.181897324661081e-06,-1.7194665384497173e-06,1.767713366457063e-05
Jan 01 2015 00:00:53.000000000,-81.5666468,100.5416204,2999.03328,1.7893243189746335e-05,-2.177619269403982e-06,-1.7274627571213947e-06,1.7676028925855565e-05
Jan 01 2015 00:00:54.000000000,-81.60028793,100.62495799999999,2998.992998,1.789240169051738e-05,-2.17330074721157e-06,-1.7354763160845997e-06,1.767492359455362e-05
Jan 01 2015 00:00:55.000000000,-81.63390985,100.7089948,2998.9518780000003,1.7891560998508995e-05,-2.1689412517080293e-06,-1.7435073174920767e-06,1.7673817670324056e-05
Jan 01 2015 00:00:56.000000000,-81.66751233,100.79373890000001,2998.909921,1.789072110615279e-05,-2.1645402565503606e-06,-1.7515558692662468e-06,1.7672711144947532e-05
Jan 01 2015 00:00:57.000000000,-81.70109513,100.8791985,2998.867127,1.788988201174972e-05,-2.1600972289671413e-06,-1.7596220781843733e-06,1.7671604015982837e-05
