Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
Jan 01 2015 00:00:01.000000000,-79.79550173,97.00497235,2999.9739870000003,,,,,,
Jan 01 2015 00:00:02.000000000,-79.82989748,97.0607208,2999.9772510000003,,,,,,
Jan 01 2015 00:00:03.000000000,-79.8642822,97.11687153,2999.979677,,,,,,
Jan 01 2015 00:00:04.000000000,-79.8986558,97.17342852,2999.9812660000002,,,,,,
Jan 01 2015 00:00:05.000000000,-79.93301816,97.2303958,2999.9820170000003,,,,,,
Jan 01 2015 00:00:06.000000000,-79.96736917,97.28777748,2999.981932,,,,,,
Jan 01 2015 00:00:07.000000000,-80.00170873,97.34557768,2999.9810079999997,,,,,,
Jan 01 2015 00:00:08.000000000,-80.03603672,97.40380061,2999.979248,,,,,,
Jan 01 2015 00:00:09.000000000,-80.07035303,97.46245053,2999.97665,,,,,,
Jan 01 2015 00:00:10.000000000,-80.10465755,97.52153173,2999.973214,,,,,,
Jan 01 2015 00:00:11.000000000,-80.13895015,97.58104858,2999.968941,,,,,,
Jan 01 2015 00:00:12.000000000,-80.17323072,97.6410055,2999.963831,,,,,,
Jan 01 2015 00:00:13.000000000,-80.20749915,97.70140696,2999.957883,,,,,,
Jan 01 2015 00:00:14.000000000,-80.24175529,97.76225749999999,2999.951098,,,,,,
Jan 01 2015 00:00:15.000000000,-80.27599905,97.82356172,2999.943475,,,,,,
Jan 01 2015 00:00:16.000000000,-80.31023028,97.88532428,2999.935016,,,,,,
Jan 01 2015 00:00:17.000000000,-80.34444886,97.94754988,2999.925718,,,,,,
Jan 01 2015 00:00:18.000000000,-80.37865466,98.01024331,2999.915583,,,,,,
Jan 01 2015 00:00:19.000000000,-80.41284756,98.0734094,2999.904611,,,,,,
Jan 01 2015 00:00:20.000000000,-80.44702741,98.13705308,2999.892801,,,,,,
Jan 01 2015 00:00:21.000000000,-80.48119408,98.20117931,2999.880154,,,,,,
Jan 01 2015 00:00:22.000000000,-80.51534744,98.26579313,2999.86667,,,,,,
Jan 01 2015 00:00:23.000000000,-80.54948735,98.33089964,2999.852348,,,,,,
Jan 01 2015 00:00:24.000000000,-80.58361367,98.39650403,2999.837188,,,,,,
Jan 01 2015 00:00:25.000000000,-80.61772625,98.46261153,2999.821191,,,,,,
Jan 01 2015 00:00:26.000000000,-80.65182494,98.52922747,2999.804357,,,,,,
Jan 01 2015 00:00:27.000000000,-80.68590961,98.59635723,2999.786685,,,,,,
Jan 01 2015 00:00:28.000000000,-80.7199801,98.66400626,2999.768176,,,,,,
Jan 01 2015 00:00:29.000000000,-80.75403625,98.73218012,2999.748829,,,,,,
Jan 01 2015 00:00:30.000000000,-80.78807793,98.8008844,2999.728645,,,,,,
Jan 01 2015 00:00:31.000000000,-80.82210496,98.8701248,2999.7076239999997,,,,,,
Jan 01 2015 00:00:32.000000000,-80.85611719,98.93990708,2999.6857649999997,,,,,,
Jan 01 2015 00:00:33.000000000,-80.89011447,99.01023708,2999.663068,,,,,,
Jan 01 2015 00:00:34.000000000,-80.92409661,99.08112073,2999.6395350000003,,,,,,
Jan 01 2015 00:00:35.000000000,-80.95806347,99.15256404,2999.615163,,,,,,
Jan 01 2015 00:00:36.000000000,-80.99201487,99.22457309999999,2999.589955,,,,,,
Jan 01 2015 00:00:37.000000000,-81.02595064,99.29715408,2999.5639079999996,,,,,,
Jan 01 2015 00:00:38.000000000,-81.05987059999998,99.37031325,2999.537025,,,,,,
Jan 01 2015 00:00:39.000000000,-81.09377458,99.44405695,2999.5093039999997,,,,,,
Jan 01 2015 00:00:40.000000000,-81.12766241,99.51839161,2999.480745,,,,,,
Jan 01 2015 00:00:41.000000000,-81.16153389,99.59332378,2999.451349,,,,,,
Jan 01 2015 00:00:42.000000000,-81.19538885,99.66886006,2999.421116,,,,,,
Jan 01 2015 00:00:43.000000000,-81.22922709,99.74500716,2999.390045,,,,,,
Jan 01 2015 00:00:44.000000000,-81.26304843,99.82177191,2999.358137,,,,,,
Jan 01 2015 00:00:45.000000000,-81.29685266,99.89916119,2999.325392,,,,,,
Jan 01 2015 00:00:46.000000000,-81.33063961,99.97718201,2999.291809,,,,,,
Jan 01 2015 00:00:47.000000000,-81.36440906,100.0558415,2999.257388,,,,,,
Jan 01 2015 00:00:48.000000000,-81.39816081,100.1351468,2999.22213,,,,,,
Jan 01 2015 00:00:49.000000000,-81.43189466,100.21510529999999,2999.186035,,,,,,
Jan 01 2015 00:00:50.000000000,-81.4656104,100.2957243,2999.149102,,,,,,
Jan 01 2015 00:00:51.000000000,-81.49930781,100.3770114,2999.111332,,,,,,
Jan 01 2015 00:00:52.000000000,-81.53298669,100.45897420000001,2999.072725,,,,,,
Jan 01 2015 00:00:53.000000000,-81.5666468,100.5416204,2999.03328,,,,,,
Jan 01 2015 00:00:54.000000000,-81.60028793,100.62495799999999,2998.992998,,,,,,
Jan 01 2015 00:00:55.000000000,-81.63390985,100.7089948,2998.9518780000003,,,,,,
Jan 01 2015 00:00:56.000000000,-81.66751233,100.79373890000001,2998.909921,,,,,,
Jan 01 2015 00:00:57.000000000,-81.70109513,100.8791985,2998.867127,,,,,,
Jan 01 2015 00:00:58.000000000,-81.73465803,100.96538199999999,2998.823495,,,,,,
Jan 01 2015 00:00:59.000000000,-81.76820078,101.0522978,2998.779026,,,,,,
Jan 01 2015 00:01:00.000000000,-81.80172312,101.13995440000001,2998.7337199999997,,,,,,
Jan 01 2015 00:01:01.000000000,-81.83522482,101.2283605,2998.6875760000003,,,,,,
Jan 01 2015 00:01:02.000000000,-81.86870562,101.31752490000001,2998.640595,,,,,,
Jan 01 2015 00:01:03.000000000,-81.90216526,101.4074566,2998.592777,,,,,,
Jan 01 2015 00:01:04.000000000,-81.93560349,101.4981647,2998.544121,,,,,,
Jan 01 2015 00:01:05.000000000,-81.96902002,101.5896584,2998.494628,,,,,,
Jan 01 2015 00:01:06.000000000,-82.00241461,101.681947,2998.444298,,,,,,
Jan 01 2015 00:01:07.000000000,-82.03578696,101.77504,2998.39313,,,,,,
Jan 01 2015 00:01:08.000000000,-82.0691368,101.86894709999999,2998.341125,,,,,,
Jan 01 2015 00:01:09.000000000,-82.10246384,101.96367790000001,2998.288283,,,,,,
Jan 01 2015 00:01:10.000000000,-82.13576781,102.0592426,2998.2346030000003,,,,,,
Jan 01 2015 00:01:11.000000000,-82.16904839,102.155651,2998.180086,,,,,,
Jan 01 2015 00:01:12.000000000,-82.20230529999999,102.2529135,2998.124732,,,,,,
Jan 01 2015 00:01:13.000000000,-82.23553823,102.35104040000002,2998.068541,,,,,,
Jan 01 2015 00:01:14.000000000,-82.26874688,102.4500422,2998.011512,,,,,,
Jan 01 2015 00:01:15.000000000,-82.30193092,102.5499297,2997.953646,,,,,,
Jan 01 2015 00:01:16.000000000,-82.33509004,102.65071379999999,2997.894943,,,,,,
Jan 01 2015 00:01:17.000000000,-82.36822391,102.75240529999999,2997.835403,,,,,,
Jan 01 2015 00:01:18.000000000,-82.40133221,102.8550156,2997.775025,,,,,,
Jan 01 2015 00:01:19.000000000,-82.4344146,102.958556,2997.713811,,,,,,
Jan 01 2015 00:01:20.000000000,-82.46747073,103.063038,2997.651759,,,,,,
Jan 01 2015 00:01:21.000000000,-82.50050026,103.16847340000001,2997.58887,,,,,,
Jan 01 2015 00:01:22.000000000,-82.53350283,103.274874,2997.525143,,,,,,
Jan 01 2015 00:01:23.000000000,-82.56647809,103.38225200000001,2997.46058,,,,,,
Jan 01 2015 00:01:24.000000000,-82.59942567,103.4906195,2997.395179,,,,,,
Jan 01 2015 00:01:25.000000000,-82.6323452,103.59998909999999,2997.328942,,,,,,
Jan 01 2015 00:01:26.000000000,-82.6652363,103.71037340000001,2997.261867,,,,,,
Jan 01 2015 00:01:27.000000000,-82.69809858,103.82178520000001,2997.193955,,,,,,
Jan 01 2015 00:01:28.000000000,-82.73093165,103.9342377,2997.1252059999997,,,,,,
Jan 01 2015 00:01:29.000000000,-82.76373511,104.0477439,2997.055619,,,,,,
Jan 01 2015 00:01:30.000000000,-82.79650856,104.1623175,2996.985196,,,,,,
Jan 01 2015 00:01:31.000000000,-82.82925158,104.27797209999999,2996.913936,,,,,,
Jan 01 2015 00:01:32.000000000,-82.86196375,104.3947215,2996.841838,,,,,,
Jan 01 2015 00:01:33.000000000,-82.89464464,104.5125798,2996.768904,,,,,,
Jan 01 2015 00:01:34.000000000,-82.92729383,104.6315615,2996.695132,,,,,,
Jan 01 2015 00:01:35.000000000,-82.95991086,104.7516809,2996.620524,,,,,,
Jan 01 2015 00:01:36.000000000,-82.99249528,104.87295300000001,2996.545078,,,,,,
Jan 01 2015 00:01:37.000000000,-83.02504663,104.99539270000001,2996.468796,,,,,,
Jan 01 2015 00:01:38.000000000,-83.05756445,105.1190152,2996.391676,,,,,,
Jan 01 2015 00:01:39.000000000,-83.09004826,105.24383610000001,2996.31372,,,,,,
Jan 01 2015 00:01:40.000000000,-83.12249758,105.36987109999998,2996.234926,,,,,,
Jan 01 2015 00:01:41.000000000,-83.1549119,105.4971361,2996.155296,,,,,,
Jan 01 2015 00:01:42.000000000,-83.18729074,105.62564740000002,2996.0748280000003,,,,,,
Jan 01 2015 00:01:43.000000000,-83.21963356,105.7554216,2995.993524,,,,,,
Jan 01 2015 00:01:44.000000000,-83.25193987,105.8864753,2995.9113829999997,,,,,,
Jan 01 2015 00:01:45.000000000,-83.28420911,106.0188256,2995.828405,,,,,,
Jan 01 2015 00:01:46.000000000,-83.31644076,106.1524898,2995.74459,,,,,,
Jan 01 2015 00:01:47.000000000,-83.34863427,106.2874855,2995.659938,,,,,,
Jan 01 2015 00:01:48.000000000,-83.38078906,106.4238304,2995.57445,,,,,,
Jan 01 2015 00:01:49.000000000,-83.41290457,106.5615429,2995.488124,,,,,,
Jan 01 2015 00:01:50.000000000,-83.44498022,106.7006412,2995.400962,,,,,,
Jan 01 2015 00:01:51.000000000,-83.47701542,106.8411442,2995.312963,,,,,,
Jan 01 2015 00:01:52.000000000,-83.50900956,106.9830708,2995.224127,,,,,,
Jan 01 2015 00:01:53.000000000,-83.54096202,107.1264404,2995.134454,,,,,,
Jan 01 2015 00:01:54.000000000,-83.57287219,107.2712726,2995.043945,,,,,,
Jan 01 2015 00:01:55.000000000,-83.60473941,107.4175874,2994.9525989999997,,,,,,
Jan 01 2015 00:01:56.000000000,-83.63656304,107.56540509999999,2994.860416,,,,,,
Jan 01 2015 00:01:57.000000000,-83.66834242,107.71474620000001,2994.767397,,,,,,
Jan 01 2015 00:01:58.000000000,-83.70007687,107.86563170000001,2994.673541,,,,,,
Jan 01 2015 00:01:59.000000000,-83.7317657,108.01808290000001,2994.578848,,,,,,
Jan 01 2015 00:02:00.000000000,-83.76340821,108.17212140000001,2994.483318,,,,,,
Jan 01 2015 00:02:01.000000000,-83.79500369,108.32776909999998,2994.386952,,,,,,
Jan 01 2015 00:02:02.000000000,-83.82655141,108.4850483,2994.28975,,,,,,
Jan 01 2015 00:02:03.000000000,-83.85805061,108.64398179999999,2994.19171,,,,,,
Jan 01 2015 00:02:04.000000000,-83.88950056,108.80459240000002,2994.092835,,,,,,
Jan 01 2015 00:02:05.000000000,-83.92090046,108.9669038,2993.993122,,,,,,
Jan 01 2015 00:02:06.000000000,-83.95224955,109.1309395,2993.892573,,,,,,
