Time (UTCG),Lat (deg),Lon (deg),Alt (km),RSheath (Ohm),FRC (Hz),GDC,GAC,V_I0 (volt)
Jan 01 2015 00:00:01.000000000,-79.79550173,97.00497235,2999.9739870000008,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:02.000000000,-79.82989748,97.0607208,2999.9772510000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:03.000000000,-79.8642822,97.11687153,2999.979677,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:04.000000000,-79.8986558,97.17342852,2999.981266,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:05.000000000,-79.93301816,97.2303958,2999.9820170000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:06.000000000,-79.96736917,97.28777748,2999.981932,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:07.000000000,-80.00170873,97.34557768,2999.981008,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:08.000000000,-80.03603672,97.40380061,2999.979248,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:09.000000000,-80.07035303,97.46245053,2999.97665,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:10.000000000,-80.10465755,97.52153173,2999.973214,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:11.000000000,-80.13895015,97.58104858,2999.968941,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:12.000000000,-80.17323072,97.6410055,2999.963831,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:13.000000000,-80.20749915,97.70140696,2999.957883,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:14.000000000,-80.24175529,97.7622575,2999.951098,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:15.000000000,-80.27599905,97.82356172,2999.943475,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:16.000000000,-80.31023028,97.88532428,2999.935016,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:17.000000000,-80.34444886,97.94754988,2999.925718,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:18.000000000,-80.37865466,98.01024331,2999.915583,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:19.000000000,-80.41284756,98.0734094,2999.904611,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:20.000000000,-80.44702741,98.13705308,2999.892801,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:21.000000000,-80.48119408,98.20117931,2999.880154,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:22.000000000,-80.51534744,98.26579313,2999.86667,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:23.000000000,-80.54948735,98.33089964,2999.852348,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:24.000000000,-80.58361367,98.39650403,2999.837188,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:25.000000000,-80.61772625,98.46261153,2999.821191,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:26.000000000,-80.65182494,98.52922747,2999.804357,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:27.000000000,-80.68590961,98.59635723,2999.786685,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:28.000000000,-80.7199801,98.66400626,2999.768176,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:29.000000000,-80.75403625,98.73218012,2999.748829,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:30.000000000,-80.78807793,98.8008844,2999.728645,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:31.000000000,-80.82210496,98.8701248,2999.707624,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:32.000000000,-80.85611719,98.93990708,2999.685765,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:33.000000000,-80.89011447,99.01023708,2999.663068,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:34.000000000,-80.92409661,99.08112073,2999.6395350000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:35.000000000,-80.95806347,99.15256404,2999.615163,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:36.000000000,-80.99201487,99.2245731,2999.589955,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:37.000000000,-81.02595064,99.29715408,2999.563908,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:38.000000000,-81.05987059999998,99.37031325,2999.537025,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:39.000000000,-81.09377458,99.44405695,2999.509304,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:40.000000000,-81.12766241,99.51839161,2999.480745,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:41.000000000,-81.16153389,99.59332378,2999.451349,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:42.000000000,-81.19538885,99.66886006,2999.421116,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:43.000000000,-81.22922709,99.74500716,2999.390045,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:44.000000000,-81.26304843,99.82177191,2999.358137,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:45.000000000,-81.29685266,99.89916119,2999.325392,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:46.000000000,-81.33063961,99.97718201,2999.291809,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:47.000000000,-81.36440906,100.0558415,2999.257388,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:48.000000000,-81.39816081,100.1351468,2999.22213,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:49.000000000,-81.43189466,100.2151053,2999.186035,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:50.000000000,-81.4656104,100.2957243,2999.149102,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:51.000000000,-81.49930781,100.3770114,2999.111332,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:52.000000000,-81.53298669,100.4589742,2999.072725,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:53.000000000,-81.5666468,100.5416204,2999.03328,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:54.000000000,-81.60028793,100.624958,2998.992998,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:55.000000000,-81.63390985,100.7089948,2998.9518780000008,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:56.000000000,-81.66751233,100.7937389,2998.909921,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:57.000000000,-81.70109513,100.8791985,2998.867127,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:58.000000000,-81.73465803,100.965382,2998.823495,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:00:59.000000000,-81.76820078,101.0522978,2998.779026,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:00.000000000,-81.80172312,101.1399544,2998.73372,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:01.000000000,-81.83522482,101.2283605,2998.6875760000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:02.000000000,-81.86870562,101.3175249,2998.640595,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:03.000000000,-81.90216526,101.4074566,2998.592777,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:04.000000000,-81.93560349,101.4981647,2998.544121,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:05.000000000,-81.96902002,101.5896584,2998.494628,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:06.000000000,-82.00241461,101.681947,2998.444298,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:07.000000000,-82.03578696,101.77504,2998.39313,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:08.000000000,-82.0691368,101.8689471,2998.341125,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:09.000000000,-82.10246384,101.9636779,2998.288283,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:10.000000000,-82.13576781,102.0592426,2998.234603000001,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:11.000000000,-82.16904839,102.155651,2998.180086,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:12.000000000,-82.20230529999998,102.2529135,2998.124732,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:13.000000000,-82.23553823,102.35104040000002,2998.068541,0.0,0.0,0.0,0.0,0.0
